ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
AAPL,AAPL,AAPL,STOCK,STOCK_A_15_25_35_50,52w_high,21,-21.55%,-13.84%,1.44%,52.38%,7.39%,66.67%,14.84%,66.67%,32.25%,90.48%
AAPL,AAPL,AAPL,STOCK,STOCK_B_20_30_40_55,52w_high,15,-26.86%,-9.59%,4.61%,60.00%,14.37%,73.33%,25.98%,80.00%,45.38%,93.33%
AAPL,AAPL,AAPL,STOCK,STOCK_C_25_35_45_60,52w_high,9,-28.58%,-9.97%,4.07%,55.56%,11.95%,77.78%,21.43%,77.78%,49.01%,100.00%
ACN,ACN,Accenture,STOCK,STOCK_A_15_25_35_50,52w_high,17,-24.06%,-14.13%,3.06%,58.82%,8.59%,64.71%,13.03%,70.59%,17.82%,58.82%
ACN,ACN,Accenture,STOCK,STOCK_B_20_30_40_55,52w_high,11,-28.89%,-19.09%,2.17%,54.55%,11.88%,72.73%,11.88%,45.45%,20.40%,36.36%
ACN,ACN,Accenture,STOCK,STOCK_C_25_35_45_60,52w_high,8,-31.46%,-18.71%,6.34%,75.00%,7.80%,62.50%,13.70%,62.50%,16.13%,50.00%
ADBE,ADBE,Adobe,STOCK,STOCK_A_15_25_35_50,52w_high,23,-25.11%,-15.88%,5.00%,65.22%,8.30%,60.87%,13.67%,69.57%,17.57%,65.22%
ADBE,ADBE,Adobe,STOCK,STOCK_B_20_30_40_55,52w_high,15,-28.55%,-18.13%,3.11%,53.33%,8.11%,60.00%,15.51%,80.00%,9.21%,60.00%
ADBE,ADBE,Adobe,STOCK,STOCK_C_25_35_45_60,52w_high,12,-34.69%,-16.90%,7.13%,75.00%,10.39%,58.33%,15.29%,58.33%,15.08%,50.00%
AMD,AMD,AMD,STOCK,STOCK_A_15_25_35_50,52w_high,51,-25.21%,-23.51%,5.66%,62.75%,15.17%,56.86%,29.42%,62.75%,21.96%,45.10%
AMD,AMD,AMD,STOCK,STOCK_B_20_30_40_55,52w_high,34,-32.40%,-25.73%,0.77%,58.82%,6.59%,47.06%,28.35%,61.76%,23.65%,52.94%
AMD,AMD,AMD,STOCK,STOCK_C_25_35_45_60,52w_high,29,-36.07%,-24.65%,2.84%,65.52%,12.39%,62.07%,32.92%,65.52%,32.78%,48.28%
AMZN,AMZN,AMZN,STOCK,STOCK_A_15_25_35_50,52w_high,28,-21.00%,-10.43%,4.92%,67.86%,13.86%,78.57%,20.42%,75.00%,30.31%,78.57%
AMZN,AMZN,AMZN,STOCK,STOCK_B_20_30_40_55,52w_high,15,-25.60%,-11.86%,8.40%,73.33%,21.17%,93.33%,22.46%,66.67%,28.50%,80.00%
AMZN,AMZN,AMZN,STOCK,STOCK_C_25_35_45_60,52w_high,9,-29.69%,-13.65%,5.34%,77.78%,18.66%,88.89%,15.37%,66.67%,27.89%,77.78%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_A_15_25_35_50,52w_high,33,-21.94%,-11.63%,6.35%,78.79%,18.56%,75.76%,34.01%,81.82%,58.86%,87.88%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_B_20_30_40_55,52w_high,22,-25.14%,-10.58%,10.85%,86.36%,26.76%,90.91%,44.03%,86.36%,65.12%,90.91%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_C_25_35_45_60,52w_high,14,-30.98%,-5.72%,15.83%,85.71%,38.80%,92.86%,59.86%,85.71%,97.59%,85.71%
AXP,AXP,AXP,STOCK,STOCK_A_15_25_35_50,52w_high,20,-20.57%,-12.96%,2.41%,65.00%,11.27%,75.00%,14.00%,65.00%,25.94%,75.00%
AXP,AXP,AXP,STOCK,STOCK_B_20_30_40_55,52w_high,13,-25.33%,-10.49%,4.08%,69.23%,15.14%,84.62%,19.65%,76.92%,37.41%,76.92%
AXP,AXP,AXP,STOCK,STOCK_C_25_35_45_60,52w_high,7,-32.63%,-13.55%,2.96%,57.14%,18.00%,85.71%,19.46%,85.71%,47.92%,100.00%
BAC,BAC,BAC,STOCK,STOCK_A_15_25_35_50,52w_high,25,-23.79%,-19.00%,2.34%,60.00%,6.44%,68.00%,9.85%,64.00%,17.47%,64.00%
BAC,BAC,BAC,STOCK,STOCK_B_20_30_40_55,52w_high,13,-30.94%,-21.98%,0.92%,61.54%,7.05%,53.85%,10.88%,69.23%,22.94%,61.54%
BAC,BAC,BAC,STOCK,STOCK_C_25_35_45_60,52w_high,13,-35.38%,-18.58%,3.75%,61.54%,9.07%,61.54%,18.13%,76.92%,34.87%,61.54%
BTC-USD,BTC-USD,BTC-USD,CRYPTO_EQUITY,STOCK_B_20_30_40_55,52w_high,39,-33.51%,-21.76%,13.99%,76.92%,24.90%,58.97%,40.18%,58.97%,84.70%,61.54%
BTC-USD,BTC-USD,BTC-USD,CRYPTO_EQUITY,STOCK_C_25_35_45_60,52w_high,31,-40.71%,-20.44%,14.35%,77.42%,28.82%,64.52%,43.91%,61.29%,88.54%,54.84%
CEG,CEG,CEG,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,9,-28.18%,-17.12%,-0.55%,44.44%,19.83%,66.67%,34.35%,66.67%,62.32%,66.67%
CEG,CEG,CEG,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,6,-34.07%,-14.34%,6.02%,50.00%,34.83%,83.33%,56.50%,66.67%,56.89%,66.67%
COST,COST,Costco,STOCK,STOCK_A_15_25_35_50,52w_high,12,-16.77%,-5.21%,4.40%,83.33%,13.38%,83.33%,18.66%,83.33%,25.21%,83.33%
COST,COST,Costco,STOCK,STOCK_B_20_30_40_55,52w_high,4,-24.95%,-1.94%,9.06%,100.00%,24.55%,100.00%,23.96%,100.00%,28.64%,75.00%
COST,COST,Costco,STOCK,STOCK_C_25_35_45_60,52w_high,1,-29.27%,-3.02%,4.03%,100.00%,30.86%,100.00%,22.49%,100.00%,16.48%,100.00%
CVX,CVX,Chevron,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,12,-29.21%,-13.54%,5.90%,75.00%,18.78%,75.00%,13.71%,66.67%,32.91%,83.33%
CVX,CVX,Chevron,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,5,-37.77%,-20.30%,13.00%,60.00%,22.93%,80.00%,13.52%,80.00%,48.90%,100.00%
DELL,DELL,Dell,AI_STOCK,STOCK_A_15_25_35_50,52w_high,18,-27.67%,-22.78%,7.33%,77.78%,8.86%,55.56%,20.51%,50.00%,26.53%,55.56%
DELL,DELL,Dell,AI_STOCK,STOCK_B_20_30_40_55,52w_high,16,-32.53%,-20.01%,7.44%,75.00%,19.40%,68.75%,26.63%,62.50%,46.84%,62.50%
DELL,DELL,Dell,AI_STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.55%,-23.16%,8.70%,90.91%,14.93%,81.82%,20.77%,54.55%,36.23%,72.73%
GEV,GEV,GEV,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,3,-27.40%,-8.67%,4.83%,66.67%,38.76%,66.67%,95.35%,66.67%,149.96%,66.67%
GEV,GEV,GEV,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,2,-31.69%,-8.81%,5.49%,100.00%,58.93%,100.00%,104.93%,100.00%,191.74%,100.00%
GOOGL,GOOGL,GOOGL,STOCK,STOCK_A_15_25_35_50,52w_high,26,-18.87%,-10.04%,4.01%,65.38%,9.06%,73.08%,17.40%,76.92%,29.36%,80.77%
GOOGL,GOOGL,GOOGL,STOCK,STOCK_B_20_30_40_55,52w_high,13,-24.71%,-8.12%,6.08%,61.54%,13.10%,84.62%,19.55%,76.92%,38.92%,84.62%
GOOGL,GOOGL,GOOGL,STOCK,STOCK_C_25_35_45_60,52w_high,6,-27.83%,-8.94%,7.51%,66.67%,11.13%,83.33%,26.27%,83.33%,41.05%,100.00%
KO,KO,Coca-Cola,STOCK,STOCK_A_15_25_35_50,52w_high,6,-22.60%,-5.62%,8.39%,100.00%,12.70%,83.33%,18.64%,100.00%,21.15%,83.33%
KO,KO,Coca-Cola,STOCK,STOCK_B_20_30_40_55,52w_high,2,-28.66%,-10.79%,9.44%,100.00%,9.33%,50.00%,20.96%,100.00%,24.51%,100.00%
KO,KO,Coca-Cola,STOCK,STOCK_C_25_35_45_60,52w_high,2,-32.79%,-6.07%,14.86%,100.00%,17.30%,100.00%,28.46%,100.00%,31.61%,100.00%
LIN,LIN,LIN,STOCK,STOCK_A_15_25_35_50,52w_high,9,-18.05%,-6.23%,6.85%,77.78%,13.60%,88.89%,23.23%,88.89%,32.96%,88.89%
LIN,LIN,LIN,STOCK,STOCK_B_20_30_40_55,52w_high,6,-22.97%,-4.11%,10.43%,83.33%,18.36%,100.00%,25.96%,100.00%,41.20%,100.00%
LIN,LIN,LIN,STOCK,STOCK_C_25_35_45_60,52w_high,1,-28.98%,-5.08%,17.78%,100.00%,26.60%,100.00%,57.82%,100.00%,72.74%,100.00%
LLY,LLY,Eli Lilly,STOCK,STOCK_A_15_25_35_50,52w_high,16,-16.26%,-7.26%,5.00%,68.75%,14.13%,87.50%,23.50%,81.25%,42.68%,87.50%
LLY,LLY,Eli Lilly,STOCK,STOCK_B_20_30_40_55,52w_high,7,-23.26%,-5.98%,7.89%,85.71%,28.83%,100.00%,25.54%,71.43%,43.88%,71.43%
LLY,LLY,Eli Lilly,STOCK,STOCK_C_25_35_45_60,52w_high,1,-25.21%,-12.39%,14.74%,100.00%,-4.15%,0.00%,42.84%,100.00%,41.72%,100.00%
MA,MA,Mastercard,STOCK,STOCK_A_15_25_35_50,52w_high,16,-20.10%,-8.39%,5.45%,81.25%,12.18%,100.00%,18.60%,81.25%,32.14%,87.50%
MA,MA,Mastercard,STOCK,STOCK_B_20_30_40_55,52w_high,11,-24.00%,-6.64%,11.55%,81.82%,18.93%,90.91%,27.11%,90.91%,38.26%,90.91%
MA,MA,Mastercard,STOCK,STOCK_C_25_35_45_60,52w_high,4,-29.92%,-6.67%,8.76%,100.00%,22.36%,100.00%,32.90%,100.00%,55.22%,100.00%
MRVL,MRVL,MRVL,STOCK,STOCK_A_15_25_35_50,52w_high,43,-26.03%,-22.35%,2.72%,51.16%,6.48%,51.16%,15.50%,60.47%,26.37%,48.84%
MRVL,MRVL,MRVL,STOCK,STOCK_B_20_30_40_55,52w_high,30,-31.07%,-21.63%,0.96%,43.33%,3.68%,43.33%,16.08%,53.33%,25.07%,50.00%
MRVL,MRVL,MRVL,STOCK,STOCK_C_25_35_45_60,52w_high,25,-35.59%,-19.59%,2.68%,52.00%,11.72%,56.00%,22.53%,64.00%,30.70%,52.00%
MSFT,MSFT,MSFT,STOCK,STOCK_A_15_25_35_50,52w_high,16,-19.99%,-7.94%,4.49%,75.00%,12.24%,81.25%,23.96%,75.00%,32.87%,81.25%
MSFT,MSFT,MSFT,STOCK,STOCK_B_20_30_40_55,52w_high,7,-24.70%,-9.05%,7.57%,71.43%,9.86%,57.14%,24.50%,57.14%,24.78%,71.43%
MSFT,MSFT,MSFT,STOCK,STOCK_C_25_35_45_60,52w_high,5,-27.92%,-6.45%,9.24%,80.00%,16.04%,100.00%,26.87%,60.00%,42.21%,80.00%
MU,MU,Micron,AI_STOCK,STOCK_A_15_25_35_50,52w_high,45,-25.22%,-26.97%,6.39%,60.00%,19.09%,44.44%,8.18%,33.33%,14.49%,33.33%
MU,MU,Micron,AI_STOCK,STOCK_B_20_30_40_55,52w_high,33,-32.07%,-28.11%,7.30%,57.58%,21.22%,51.52%,18.40%,45.45%,22.56%,33.33%
MU,MU,Micron,AI_STOCK,STOCK_C_25_35_45_60,52w_high,24,-37.23%,-26.60%,3.45%,50.00%,12.90%,45.83%,6.40%,41.67%,26.51%,50.00%
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_A_15_25_35_50,52w_high,34,-24.23%,-28.25%,-0.71%,41.18%,0.75%,55.88%,10.08%,55.88%,20.98%,52.94%
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_B_20_30_40_55,52w_high,25,-31.24%,-30.53%,0.76%,44.00%,-0.67%,52.00%,8.15%,52.00%,21.29%,48.00%
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_C_25_35_45_60,52w_high,18,-37.38%,-32.79%,-8.76%,22.22%,-12.84%,33.33%,-0.76%,44.44%,5.39%,38.89%
NOC,NOC,NOC,STOCK,STOCK_A_15_25_35_50,52w_high,14,-22.25%,-9.03%,3.86%,64.29%,9.62%,71.43%,12.99%,57.14%,23.85%,71.43%
NOC,NOC,NOC,STOCK,STOCK_B_20_30_40_55,52w_high,8,-24.26%,-8.58%,3.65%,62.50%,7.52%,75.00%,14.50%,75.00%,25.38%,75.00%
NOC,NOC,NOC,STOCK,STOCK_C_25_35_45_60,52w_high,6,-29.60%,-5.67%,9.11%,66.67%,12.04%,66.67%,23.70%,66.67%,35.30%,66.67%
NOW,NOW,ServiceNow,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,20,-30.20%,-16.32%,6.54%,65.00%,19.88%,80.00%,31.07%,70.00%,45.25%,70.00%
NOW,NOW,ServiceNow,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,15,-35.43%,-16.65%,5.50%,60.00%,20.08%,80.00%,26.62%,73.33%,48.02%,60.00%
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_A_15_25_35_50,52w_high,38,-26.81%,-17.07%,5.69%,60.53%,18.21%,71.05%,43.66%,71.05%,74.97%,78.95%
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_B_20_30_40_55,52w_high,23,-31.90%,-22.59%,2.73%,52.17%,9.56%,52.17%,24.63%,56.52%,58.85%,69.57%
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_C_25_35_45_60,52w_high,19,-37.32%,-20.79%,1.37%,36.84%,15.84%,68.42%,35.10%,63.16%,72.81%,78.95%
OXY,OXY,Occidental Petroleum,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,22,-28.03%,-17.86%,5.00%,68.18%,15.08%,68.18%,14.92%,68.18%,31.31%,72.73%
OXY,OXY,Occidental Petroleum,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,15,-34.36%,-21.14%,7.34%,80.00%,16.41%,60.00%,14.08%,60.00%,32.29%,60.00%
PBR,PBR,Petrobras,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,26,-30.74%,-31.33%,-3.30%,53.85%,-1.84%,57.69%,3.96%,65.38%,5.67%,57.69%
PBR,PBR,Petrobras,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,23,-35.99%,-27.94%,-0.18%,52.17%,2.18%,60.87%,12.82%,73.91%,14.10%,56.52%
PWR,PWR,PWR,STOCK,STOCK_A_15_25_35_50,52w_high,27,-20.91%,-12.06%,4.93%,70.37%,17.02%,77.78%,29.43%,88.89%,54.61%,85.19%
PWR,PWR,PWR,STOCK,STOCK_B_20_30_40_55,52w_high,17,-26.08%,-14.01%,7.19%,64.71%,19.43%,82.35%,35.11%,94.12%,66.44%,82.35%
PWR,PWR,PWR,STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.84%,-12.58%,13.42%,90.91%,25.13%,81.82%,39.68%,90.91%,83.33%,90.91%
QCOM,QCOM,Qualcomm,SEMICONDUCTOR_STOCK,STOCK_A_15_25_35_50,52w_high,32,-23.45%,-12.48%,3.05%,59.38%,8.80%,59.38%,21.98%,65.62%,29.96%,65.62%
QCOM,QCOM,Qualcomm,SEMICONDUCTOR_STOCK,STOCK_B_20_30_40_55,52w_high,23,-26.31%,-11.73%,3.25%,60.87%,16.06%,73.91%,24.48%,65.22%,27.88%,65.22%
