ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
COST,COST,Costco,STOCK,STOCK_C_25_35_45_60,52w_high,1,-29.27%,-3.02%,4.03%,100.00%,30.86%,100.00%,22.49%,100.00%,16.48%,100.00%
CVX,CVX,Chevron,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,12,-29.21%,-13.54%,5.90%,75.00%,18.78%,75.00%,13.71%,66.67%,32.91%,83.33%
CVX,CVX,Chevron,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,5,-37.77%,-20.30%,13.00%,60.00%,22.93%,80.00%,13.52%,80.00%,48.90%,100.00%
DASH,DASH,DoorDash,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,12,-32.08%,-40.31%,6.37%,58.33%,1.86%,41.67%,-0.11%,41.67%,-17.17%,16.67%
DASH,DASH,DoorDash,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,10,-37.14%,-44.35%,4.75%,60.00%,-1.46%,40.00%,-13.80%,30.00%,-30.59%,10.00%
DELL,DELL,Dell,AI_STOCK,STOCK_A_15_25_35_50,52w_high,18,-27.67%,-22.78%,7.20%,72.22%,8.86%,55.56%,20.51%,50.00%,26.53%,55.56%
DELL,DELL,Dell,AI_STOCK,STOCK_B_20_30_40_55,52w_high,16,-32.53%,-20.01%,6.90%,68.75%,19.40%,68.75%,26.63%,62.50%,46.84%,62.50%
DELL,DELL,Dell,AI_STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.55%,-23.16%,8.70%,90.91%,14.93%,81.82%,20.77%,54.55%,36.23%,72.73%
ECH,ECH,iShares MSCI Chile ETF,COUNTRY_ETF,ETF_A_10_20_30,52w_high,27,-16.54%,-15.86%,1.22%,55.56%,1.47%,59.26%,2.24%,59.26%,4.70%,48.15%
ECH,ECH,iShares MSCI Chile ETF,COUNTRY_ETF,ETF_B_15_25_35,52w_high,20,-23.34%,-13.29%,6.88%,80.00%,5.68%,75.00%,6.24%,60.00%,4.53%,50.00%
ECO,ECO,Okeanis Eco Tankers,CYCLICAL_STOCK,STOCK_B_20_30_40_55,52w_high,3,-31.77%,-20.06%,-3.33%,33.33%,-0.07%,66.67%,5.42%,66.67%,54.79%,100.00%
ECO,ECO,Okeanis Eco Tankers,CYCLICAL_STOCK,STOCK_C_25_35_45_60,52w_high,3,-35.48%,-15.24%,-0.23%,33.33%,8.73%,66.67%,13.32%,66.67%,65.83%,100.00%
ENB,ENB,Enbridge,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,8,-30.50%,-13.69%,3.77%,50.00%,11.09%,75.00%,12.19%,87.50%,26.67%,75.00%
ENB,ENB,Enbridge,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,6,-33.15%,-13.33%,2.49%,66.67%,15.77%,83.33%,16.73%,83.33%,32.18%,100.00%
EQIX,EQIX,Equinix,REIT_STOCK,STOCK_A_15_25_35_50,52w_high,23,-22.10%,-9.45%,10.00%,78.26%,14.21%,78.26%,18.63%,78.26%,24.06%,82.61%
EQIX,EQIX,Equinix,REIT_STOCK,STOCK_B_20_30_40_55,52w_high,13,-25.23%,-7.95%,10.37%,92.31%,13.00%,100.00%,21.18%,84.62%,30.11%,100.00%
EQIX,EQIX,Equinix,REIT_STOCK,STOCK_C_25_35_45_60,52w_high,8,-29.50%,-6.58%,15.82%,100.00%,19.60%,87.50%,24.13%,87.50%,28.22%,100.00%
EQT,EQT,EQT,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,26,-28.78%,-15.61%,6.82%,65.38%,9.12%,61.54%,20.21%,73.08%,39.81%,80.77%
EQT,EQT,EQT,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,19,-32.60%,-15.56%,10.01%,78.95%,9.54%,57.89%,11.14%,73.68%,37.42%,78.95%
FXI,FXI,iShares China Large-Cap ETF,COUNTRY_ETF,ETF_A_10_20_30,52w_high,33,-15.83%,-14.36%,2.97%,63.64%,1.80%,45.45%,4.46%,57.58%,3.57%,51.52%
FXI,FXI,iShares China Large-Cap ETF,COUNTRY_ETF,ETF_B_15_25_35,52w_high,21,-21.26%,-14.29%,3.71%,80.95%,4.52%,61.90%,7.24%,61.90%,9.34%,57.14%
GRAB,GRAB,Grab,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,12,-33.24%,-47.40%,-5.62%,41.67%,-23.14%,16.67%,-17.44%,41.67%,-41.99%,16.67%
GRAB,GRAB,Grab,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,12,-36.36%,-44.44%,-5.36%,33.33%,-16.45%,33.33%,-20.48%,33.33%,-39.82%,16.67%
HAL,HAL,Halliburton,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,28,-29.10%,-24.28%,4.28%,57.14%,2.94%,46.43%,10.09%,50.00%,9.14%,46.43%
HAL,HAL,Halliburton,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,20,-36.41%,-23.34%,3.47%,40.00%,8.82%,55.00%,15.16%,55.00%,20.85%,60.00%
HII,HII,Huntington Ingalls,DEFENSE_STOCK,STOCK_A_15_25_35_50,52w_high,23,-25.10%,-14.34%,0.35%,52.17%,5.57%,60.87%,13.72%,65.22%,31.70%,69.57%
HII,HII,Huntington Ingalls,DEFENSE_STOCK,STOCK_B_20_30_40_55,52w_high,16,-31.35%,-13.04%,3.80%,68.75%,11.00%,68.75%,19.06%,68.75%,47.11%,81.25%
HII,HII,Huntington Ingalls,DEFENSE_STOCK,STOCK_C_25_35_45_60,52w_high,12,-34.53%,-12.17%,0.58%,50.00%,13.01%,75.00%,21.70%,66.67%,54.58%,75.00%
HPE,HPE,HPE,STOCK,STOCK_A_15_25_35_50,52w_high,24,-23.17%,-16.12%,1.94%,58.33%,6.06%,66.67%,14.39%,62.50%,24.73%,66.67%
HPE,HPE,HPE,STOCK,STOCK_B_20_30_40_55,52w_high,16,-26.76%,-16.67%,0.91%,56.25%,12.10%,68.75%,21.61%,68.75%,26.64%,68.75%
HPE,HPE,HPE,STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.76%,-15.40%,3.57%,54.55%,15.01%,63.64%,20.19%,63.64%,44.89%,90.91%
HUBB,HUBB,Hubbell,STOCK,STOCK_A_15_25_35_50,52w_high,20,-21.24%,-10.75%,4.82%,65.00%,12.28%,75.00%,26.10%,90.00%,45.19%,90.00%
HUBB,HUBB,Hubbell,STOCK,STOCK_B_20_30_40_55,52w_high,13,-27.46%,-8.63%,9.73%,76.92%,18.47%,84.62%,31.51%,92.31%,54.92%,100.00%
HUBB,HUBB,Hubbell,STOCK,STOCK_C_25_35_45_60,52w_high,8,-28.11%,-7.88%,9.97%,75.00%,18.90%,100.00%,30.56%,87.50%,55.46%,100.00%
INTU,INTU,Intuit,STOCK,STOCK_A_15_25_35_50,52w_high,20,-23.89%,-18.65%,3.37%,60.00%,8.12%,65.00%,17.25%,65.00%,34.21%,60.00%
INTU,INTU,Intuit,STOCK,STOCK_B_20_30_40_55,52w_high,13,-29.66%,-25.54%,4.63%,69.23%,7.94%,53.85%,10.53%,46.15%,23.15%,46.15%
INTU,INTU,Intuit,STOCK,STOCK_C_25_35_45_60,52w_high,11,-36.43%,-21.05%,3.95%,63.64%,7.65%,45.45%,21.54%,45.45%,36.88%,45.45%
JD,JD,JD.com,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,19,-32.01%,-23.95%,4.63%,52.63%,10.16%,57.89%,10.25%,52.63%,3.74%,36.84%
JD,JD,JD.com,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,14,-37.35%,-23.86%,1.23%,57.14%,3.32%,50.00%,5.07%,71.43%,4.18%,35.71%
KO,KO,Coca-Cola,STOCK,STOCK_A_15_25_35_50,52w_high,6,-22.60%,-5.62%,8.39%,100.00%,12.70%,83.33%,18.64%,100.00%,21.15%,83.33%
KO,KO,Coca-Cola,STOCK,STOCK_B_20_30_40_55,52w_high,2,-28.66%,-10.79%,9.44%,100.00%,9.33%,50.00%,20.96%,100.00%,24.51%,100.00%
KO,KO,Coca-Cola,STOCK,STOCK_C_25_35_45_60,52w_high,2,-32.79%,-6.07%,14.86%,100.00%,17.30%,100.00%,28.46%,100.00%,31.61%,100.00%
KWEB,KWEB,KraneShares China Internet ETF,COUNTRY_ETF,ETF_A_10_20_30,52w_high,33,-16.59%,-22.75%,0.32%,42.42%,-2.18%,45.45%,4.01%,54.55%,6.40%,42.42%
KWEB,KWEB,KraneShares China Internet ETF,COUNTRY_ETF,ETF_B_15_25_35,52w_high,25,-22.88%,-20.49%,3.56%,60.00%,4.07%,52.00%,6.31%,44.00%,8.17%,40.00%
LLY,LLY,Eli Lilly,STOCK,STOCK_A_15_25_35_50,52w_high,16,-16.26%,-7.26%,5.00%,68.75%,14.13%,87.50%,23.50%,81.25%,42.68%,87.50%
LLY,LLY,Eli Lilly,STOCK,STOCK_B_20_30_40_55,52w_high,7,-23.26%,-5.98%,7.89%,85.71%,28.83%,100.00%,25.54%,71.43%,43.88%,71.43%
LLY,LLY,Eli Lilly,STOCK,STOCK_C_25_35_45_60,52w_high,1,-25.21%,-12.39%,14.74%,100.00%,-4.15%,0.00%,42.84%,100.00%,41.72%,100.00%
LMT,LMT,Lockheed Martin,DEFENSE_STOCK,STOCK_A_15_25_35_50,52w_high,16,-19.94%,-8.91%,5.82%,68.75%,9.86%,81.25%,14.99%,62.50%,23.20%,68.75%
LMT,LMT,Lockheed Martin,DEFENSE_STOCK,STOCK_B_20_30_40_55,52w_high,9,-25.45%,-5.97%,10.82%,88.89%,14.53%,77.78%,20.12%,77.78%,28.98%,88.89%
LMT,LMT,Lockheed Martin,DEFENSE_STOCK,STOCK_C_25_35_45_60,52w_high,5,-28.56%,-5.48%,13.94%,80.00%,20.31%,80.00%,24.34%,60.00%,35.05%,80.00%
MA,MA,Mastercard,STOCK,STOCK_A_15_25_35_50,52w_high,16,-20.10%,-8.39%,5.45%,81.25%,12.18%,100.00%,18.60%,81.25%,32.14%,87.50%
MA,MA,Mastercard,STOCK,STOCK_B_20_30_40_55,52w_high,11,-24.00%,-6.64%,11.55%,81.82%,18.93%,90.91%,27.11%,90.91%,38.26%,90.91%
MA,MA,Mastercard,STOCK,STOCK_C_25_35_45_60,52w_high,4,-29.92%,-6.67%,8.76%,100.00%,22.36%,100.00%,32.90%,100.00%,55.22%,100.00%
MCD,MCD,McDonald's,STOCK,STOCK_A_15_25_35_50,52w_high,9,-20.42%,-4.57%,10.31%,88.89%,17.62%,88.89%,27.32%,88.89%,32.50%,88.89%
MCD,MCD,McDonald's,STOCK,STOCK_B_20_30_40_55,52w_high,3,-24.49%,-9.82%,12.61%,66.67%,19.48%,66.67%,39.58%,66.67%,39.56%,66.67%
MCD,MCD,McDonald's,STOCK,STOCK_C_25_35_45_60,52w_high,2,-34.11%,-4.07%,27.45%,100.00%,33.95%,100.00%,57.83%,100.00%,58.80%,100.00%
META,META,Meta,MEGACAP_STOCK,STOCK_A_15_25_35_50,52w_high,24,-26.08%,-18.59%,6.68%,62.50%,16.70%,83.33%,17.38%,75.00%,36.85%,75.00%
META,META,Meta,MEGACAP_STOCK,STOCK_B_20_30_40_55,52w_high,18,-33.04%,-20.96%,7.09%,61.11%,14.72%,66.67%,16.99%,61.11%,43.60%,72.22%
META,META,Meta,MEGACAP_STOCK,STOCK_C_25_35_45_60,52w_high,12,-39.13%,-24.22%,8.30%,58.33%,13.67%,58.33%,18.17%,75.00%,55.17%,66.67%
MRK,MRK,Merck,STOCK,STOCK_A_15_25_35_50,52w_high,12,-19.38%,-8.87%,5.17%,83.33%,2.86%,75.00%,6.24%,75.00%,21.89%,75.00%
MRK,MRK,Merck,STOCK,STOCK_B_20_30_40_55,52w_high,6,-26.20%,-9.46%,7.08%,83.33%,2.92%,66.67%,7.62%,66.67%,31.36%,83.33%
MRK,MRK,Merck,STOCK,STOCK_C_25_35_45_60,52w_high,3,-29.40%,-12.15%,12.14%,100.00%,-3.08%,33.33%,2.39%,66.67%,21.91%,66.67%
MU,MU,Micron,AI_STOCK,STOCK_A_15_25_35_50,52w_high,44,-25.21%,-27.50%,6.31%,59.09%,19.09%,45.45%,8.18%,34.09%,14.49%,34.09%
MU,MU,Micron,AI_STOCK,STOCK_B_20_30_40_55,52w_high,33,-32.07%,-28.00%,7.30%,57.58%,21.22%,51.52%,18.40%,45.45%,22.56%,33.33%
MU,MU,Micron,AI_STOCK,STOCK_C_25_35_45_60,52w_high,23,-37.74%,-27.76%,3.45%,52.17%,12.90%,47.83%,6.40%,43.48%,26.51%,52.17%
NET,NET,Cloudflare,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,17,-31.03%,-23.71%,4.81%,47.06%,32.28%,70.59%,39.98%,64.71%,84.69%,58.82%
NET,NET,Cloudflare,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,13,-34.49%,-26.66%,4.40%,53.85%,17.02%,69.23%,18.94%,53.85%,52.88%,46.15%
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_A_15_25_35_50,52w_high,34,-24.23%,-28.25%,-0.71%,41.18%,0.75%,55.88%,10.08%,55.88%,20.98%,52.94%
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_B_20_30_40_55,52w_high,25,-31.24%,-30.53%,0.76%,44.00%,-0.67%,52.00%,8.15%,52.00%,21.29%,48.00%
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_C_25_35_45_60,52w_high,18,-37.38%,-32.79%,-8.76%,22.22%,-12.84%,33.33%,-0.76%,44.44%,5.39%,38.89%
NOW,NOW,ServiceNow,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,20,-30.20%,-16.32%,6.54%,65.00%,19.88%,75.00%,31.07%,70.00%,45.25%,70.00%
NOW,NOW,ServiceNow,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,15,-35.43%,-16.65%,5.50%,60.00%,19.08%,73.33%,26.62%,73.33%,48.02%,60.00%
NUE,NUE,Nucor,CYCLICAL_STOCK,STOCK_B_20_30_40_55,52w_high,21,-26.64%,-12.98%,5.02%,76.19%,13.96%,85.71%,17.55%,76.19%,24.06%,90.48%
NUE,NUE,Nucor,CYCLICAL_STOCK,STOCK_C_25_35_45_60,52w_high,14,-31.61%,-12.95%,6.26%,57.14%,18.51%,85.71%,19.00%,85.71%,41.27%,85.71%
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_A_15_25_35_50,52w_high,38,-26.81%,-17.07%,5.69%,60.53%,18.21%,71.05%,43.66%,71.05%,74.97%,78.95%
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_B_20_30_40_55,52w_high,23,-31.90%,-22.59%,2.73%,52.17%,9.56%,52.17%,24.63%,56.52%,58.85%,69.57%
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_C_25_35_45_60,52w_high,19,-37.32%,-20.79%,1.37%,36.84%,15.84%,68.42%,35.10%,63.16%,72.81%,78.95%
OIH,OIH,VanEck Oil Services ETF,SECTOR_ETF,ETF_A_10_20_30,52w_high,41,-18.24%,-20.18%,0.65%,48.78%,-1.35%,48.78%,4.25%,56.10%,3.15%,58.54%
OIH,OIH,VanEck Oil Services ETF,SECTOR_ETF,ETF_B_15_25_35,52w_high,30,-23.54%,-18.16%,1.79%,53.33%,1.44%,46.67%,8.67%,63.33%,10.28%,63.33%
ORCL,ORCL,Oracle,MEGACAP_STOCK,STOCK_A_15_25_35_50,52w_high,21,-23.50%,-15.52%,3.43%,66.67%,7.08%,52.38%,24.22%,66.67%,28.14%,71.43%
ORCL,ORCL,Oracle,MEGACAP_STOCK,STOCK_B_20_30_40_55,52w_high,15,-29.39%,-14.70%,3.48%,53.33%,12.36%,73.33%,21.04%,66.67%,35.85%,73.33%
ORCL,ORCL,Oracle,MEGACAP_STOCK,STOCK_C_25_35_45_60,52w_high,9,-32.73%,-15.91%,7.02%,77.78%,14.10%,55.56%,32.90%,66.67%,37.00%,66.67%
OXY,OXY,Occidental Petroleum,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,22,-28.03%,-17.86%,5.00%,68.18%,15.08%,68.18%,14.92%,68.18%,31.31%,72.73%
OXY,OXY,Occidental Petroleum,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,15,-34.36%,-21.14%,7.34%,80.00%,16.41%,60.00%,14.08%,60.00%,32.29%,60.00%
PBR,PBR,Petrobras,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,26,-30.76%,-31.33%,-3.30%,53.85%,-1.84%,57.69%,3.96%,65.38%,5.67%,57.69%
PBR,PBR,Petrobras,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,23,-35.98%,-27.98%,-0.18%,52.17%,2.18%,60.87%,12.82%,73.91%,14.10%,56.52%
PDD,PDD,PDD,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,22,-31.45%,-26.02%,4.52%,59.09%,3.43%,50.00%,12.82%,45.45%,30.45%,59.09%
PDD,PDD,PDD,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,18,-34.76%,-26.45%,4.14%,61.11%,14.89%,55.56%,21.24%,50.00%,41.41%,61.11%
PEP,PEP,PepsiCo,STOCK,STOCK_A_15_25_35_50,52w_high,8,-19.33%,-4.85%,4.83%,50.00%,9.96%,75.00%,9.61%,75.00%,19.49%,75.00%
PEP,PEP,PepsiCo,STOCK,STOCK_B_20_30_40_55,52w_high,3,-20.55%,-6.35%,7.72%,100.00%,10.99%,100.00%,12.06%,66.67%,20.37%,100.00%
PEP,PEP,PepsiCo,STOCK,STOCK_C_25_35_45_60,52w_high,2,-27.17%,-1.34%,12.90%,50.00%,17.05%,100.00%,19.73%,100.00%,29.76%,100.00%
PFE,PFE,Pfizer,STOCK,STOCK_A_15_25_35_50,52w_high,15,-20.32%,-9.75%,0.31%,46.67%,9.51%,73.33%,11.24%,66.67%,17.35%,73.33%
PFE,PFE,Pfizer,STOCK,STOCK_B_20_30_40_55,52w_high,9,-25.66%,-9.58%,7.57%,77.78%,10.29%,88.89%,14.81%,88.89%,19.39%,66.67%
PFE,PFE,Pfizer,STOCK,STOCK_C_25_35_45_60,52w_high,6,-30.43%,-12.46%,1.70%,66.67%,8.07%,83.33%,5.46%,66.67%,10.04%,50.00%
PG,PG,Procter & Gamble,STOCK,STOCK_A_15_25_35_50,52w_high,7,-17.33%,-6.20%,4.22%,85.71%,2.27%,57.14%,12.51%,57.14%,21.74%,71.43%
PG,PG,Procter & Gamble,STOCK,STOCK_B_20_30_40_55,52w_high,5,-21.22%,-2.38%,8.65%,80.00%,12.66%,100.00%,24.12%,80.00%,31.66%,80.00%
PG,PG,Procter & Gamble,STOCK,STOCK_C_25_35_45_60,52w_high,1,-25.07%,-0.53%,4.30%,100.00%,12.03%,100.00%,22.48%,100.00%,31.97%,100.00%
PSQ,PSQ,ProShares Short QQQ,INVERSE_ETF,HIGH_VOL_A_35_50_65,52w_high,2,-42.58%,-29.96%,-5.48%,0.00%,-9.42%,0.00%,-19.05%,0.00%,-29.39%,0.00%
PYPL,PYPL,PayPal,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,12,-30.07%,-36.98%,-0.34%,58.33%,5.72%,50.00%,6.05%,50.00%,12.73%,33.33%
PYPL,PYPL,PayPal,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,9,-37.21%,-42.59%,-2.84%,44.44%,-2.55%,55.56%,-4.75%,44.44%,-18.39%,11.11%
QCOM,QCOM,Qualcomm,SEMICONDUCTOR_STOCK,STOCK_A_15_25_35_50,52w_high,32,-23.47%,-12.49%,3.40%,59.38%,8.80%,59.38%,21.98%,65.62%,29.96%,65.62%
QCOM,QCOM,Qualcomm,SEMICONDUCTOR_STOCK,STOCK_B_20_30_40_55,52w_high,23,-26.33%,-11.73%,3.57%,60.87%,16.03%,73.91%,24.48%,65.22%,27.88%,65.22%
QCOM,QCOM,Qualcomm,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,15,-29.18%,-10.26%,7.13%,73.33%,15.14%,73.33%,28.35%,66.67%,40.05%,66.67%
REGN,REGN,Regeneron,STOCK,STOCK_A_15_25_35_50,52w_high,37,-22.50%,-14.47%,2.52%,59.46%,6.73%,54.05%,23.39%,64.86%,56.91%,70.27%
REGN,REGN,Regeneron,STOCK,STOCK_B_20_30_40_55,52w_high,27,-27.71%,-13.93%,4.16%,55.56%,8.70%,55.56%,23.80%,62.96%,60.31%,70.37%
REGN,REGN,Regeneron,STOCK,STOCK_C_25_35_45_60,52w_high,16,-31.47%,-14.44%,0.62%,50.00%,7.58%,43.75%,18.11%,56.25%,48.65%,62.50%
SBUX,SBUX,Starbucks,STOCK,STOCK_A_15_25_35_50,52w_high,20,-21.04%,-13.83%,2.11%,70.00%,3.62%,60.00%,8.16%,55.00%,24.54%,85.00%
SBUX,SBUX,Starbucks,STOCK,STOCK_B_20_30_40_55,52w_high,13,-27.63%,-12.12%,1.46%,61.54%,6.25%,69.23%,15.01%,76.92%,36.52%,100.00%
SBUX,SBUX,Starbucks,STOCK,STOCK_C_25_35_45_60,52w_high,7,-30.65%,-10.93%,3.57%,71.43%,3.68%,71.43%,18.38%,85.71%,39.25%,100.00%
